;when;super_hero_group;tracking;place;tracking_times;crystal_type;;human_behavior_report;human_measure;crystal_weight;expected_factor_x;previous_factor_x;first_factor_x;expected_final_factor_x;final_factor_x;previous_adamantium;;etherium_before_start;expected_start;start_process;start_subprocess1;start_critical_subprocess1;predicted_process_end;process_end;subprocess1_end;reported_on_tower;opened;chemical_x;raw_kryptonite;argon;pure_seastone;crystal_supergroup;Cycle;groups
14;10/07/2020;D;85121;1;1;group 27;9;4;680;347.5939;1607;1621.699951;1594;1578;1582;0.296;1594;;10/07/2020 09:43;10/07/2020 09:41;10/07/2020 09:45;10/07/2020 09:48;10/07/2020 10:07;10/07/2020 10:03;10/07/2020 10:00;10/07/2020 10:14;10/07/2020 10:31;14.96666667;5028;0;556.25;0;2ª;0
15;10/07/2020;D;85161;1;1;group 27;12;3;690;357.5651;1638;1638.599976;1619;1603;1606;0.201;1619;;10/07/2020 14:03;10/07/2020 14:03;10/07/2020 14:06;;10/07/2020 14:29;10/07/2020 14:27;10/07/2020 14:26;10/07/2020 14:37;10/07/2020 15:29;20.2;795;0;476.95;0;2ª;0
16;10/07/2020;D;85171;1;1;group 27;9;2;680;348.3889;1635;1625.400024;1600;1582;1596;0.0412;1600;;10/07/2020 14:50;10/07/2020 14:48;10/07/2020 14:53;;10/07/2020 15:35;10/07/2020 15:11;10/07/2020 15:09;10/07/2020 15:39;10/07/2020 16:24;16.26666667;;0;468.15;0;2ª;0
17;10/07/2020;D;85181;1;1;group 27;11;1;740;304.3125;1644;1644.800049;1610;1585;1601;0.315;1610;;10/07/2020 15:42;10/07/2020 15:37;10/07/2020 15:42;10/07/2020 15:44;10/07/2020 16:20;10/07/2020 16:00;10/07/2020 15:58;10/07/2020 16:39;10/07/2020 17:12;16.13333333;1509;0;436.1;0;2ª;0
18;10/07/2020;D;85191;1;1;group 27;1;1;760;355.7655;1645;1648.800049;1618;1585;1600;0.254;1618;;10/07/2020 16:43;10/07/2020 16:41;10/07/2020 16:46;10/07/2020 16:50;10/07/2020 17:26;10/07/2020 17:04;10/07/2020 17:02;10/07/2020 17:23;10/07/2020 17:58;16.16666667;4308;0;558.47;0;2ª;0
19;10/07/2020;D;85201;1;1;group 27;7;4;590;349.3721;1607;1618.900024;1600;1578;1583;0.295;1600;;10/07/2020 17:36;10/07/2020 17:34;10/07/2020 17:37;10/07/2020 17:41;10/07/2020 18:14;10/07/2020 17:59;10/07/2020 17:56;10/07/2020 18:19;10/07/2020 18:46;19.03333333;4563;0;500.53;0;2ª;0
20;10/07/2020;D;85211;1;1;group 27;6;4;620;342.2796;1604;1612.699951;1603;1575;1580;0.313;1603;;10/07/2020 18:34;10/07/2020 18:31;10/07/2020 18:35;;10/07/2020 19:02;10/07/2020 19:00;10/07/2020 18:57;10/07/2020 19:07;10/07/2020 19:34;22.35;2565;0;548.67;0;2ª;0
21;10/07/2020;B;85231;1;1;group 27;6;4;440;339.3929;1608;1623.300049;1601;1578;1579;0.31;1601;;10/07/2020 21:44;10/07/2020 21:45;10/07/2020 21:49;;10/07/2020 22:10;10/07/2020 22:14;10/07/2020 22:12;10/07/2020 22:23;10/07/2020 23:00;23.21666667;3624;0;530.44;0;2ª;0
22;11/07/2020;B;585121;1;1;group 27;6;4;610;323.1713;1611;1605.199951;1583;1579;1581;0.0256;1583;;11/07/2020 01:08;11/07/2020 01:06;11/07/2020 01:10;;11/07/2020 01:46;11/07/2020 01:30;11/07/2020 01:27;11/07/2020 01:50;11/07/2020 02:32;17.61666667;;121.594157;236.93;0;2ª;0
23;11/07/2020;B;85251;1;1;group 27;7;1;360;353.2757;1629;1631.800049;1622;1576;1579;0.308;1622;;11/07/2020 03:54;11/07/2020 03:55;11/07/2020 03:59;11/07/2020 04:06;11/07/2020 04:14;11/07/2020 04:26;11/07/2020 04:23;11/07/2020 04:32;11/07/2020 04:38;24.18333333;4788;0;586.53;0;2ª;0
24;11/07/2020;B;85271;1;1;group 27;9;2;500;337.0568;1624;1607;1593;1576;1576;0.301;1593;;11/07/2020 07:36;11/07/2020 07:35;11/07/2020 07:38;;11/07/2020 08:01;11/07/2020 08:09;11/07/2020 08:09;11/07/2020 08:24;11/07/2020 08:30;31.1;;152.1786999;659.86;0;2ª;0
25;11/07/2020;A;85281;1;1;group 27;2;1;650;345.2278;1648;1611.900024;1592;1593;1591;0.304;1592;;11/07/2020 08:43;11/07/2020 08:47;11/07/2020 08:50;;11/07/2020 09:09;11/07/2020 09:23;11/07/2020 09:21;11/07/2020 09:44;11/07/2020 10:04;30.86666667;;251.495275;805.39;0;2ª;0
26;11/07/2020;A;85311;1;1;group 27;10;1;680;326.247;1642;1623.400024;1608;1585;1593;0.321;1608;;11/07/2020 12:39;11/07/2020 12:43;11/07/2020 12:48;;11/07/2020 13:12;11/07/2020 13:11;11/07/2020 13:08;11/07/2020 13:33;11/07/2020 13:49;19.81666667;426;0;487.36;0;2ª;0
27;11/07/2020;A;85331;1;1;group 27;11;4;650;339.2183;1604;1626.699951;1608;1575;1578;0.298;1608;;11/07/2020 14:22;11/07/2020 14:25;11/07/2020 14:29;;11/07/2020 14:51;11/07/2020 14:54;11/07/2020 14:51;11/07/2020 15:11;11/07/2020 15:20;22.26666667;2733;0;446.96;0;2ª;0
28;11/07/2020;A;85341;1;1;group 27;9;4;600;340.5913;1604;1636.400024;1621;1572;1576;0.262;1621;;11/07/2020 15:12;11/07/2020 15:11;11/07/2020 15:15;;11/07/2020 15:56;11/07/2020 15:46;11/07/2020 15:45;11/07/2020 15:53;11/07/2020 16:12;29.48333333;5667;0;529.92;0;2ª;0
29;11/07/2020;A;85351;1;1;group 27;10;2;650;335.1357;1619;1635.099976;1617;1574;1587;0.221;1617;;11/07/2020 16:16;11/07/2020 16:15;11/07/2020 16:18;;11/07/2020 17:02;11/07/2020 16:42;11/07/2020 16:41;11/07/2020 16:52;11/07/2020 17:11;23.21666667;2619;0;495.26;0;2ª;0
30;11/07/2020;A;85361;1;1;group 27;7;3;650;350.1169;1606;1638.599976;1624;1574;1582;0.033;1624;;11/07/2020 17:20;11/07/2020 17:22;11/07/2020 17:27;;11/07/2020 18:00;11/07/2020 17:49;11/07/2020 17:47;11/07/2020 17:58;11/07/2020 18:11;20.63333333;5535;0;130.13;0;2ª;0
31;11/07/2020;A;85371;1;1;group 27;11;3;690;351.1423;1608;1634.599976;1600;1574;1583;0.256;1600;;11/07/2020 18:15;11/07/2020 18:10;11/07/2020 18:12;;11/07/2020 18:41;11/07/2020 18:39;11/07/2020 18:39;11/07/2020 18:48;11/07/2020 19:07;27.65;1287;0;449.97;0;2ª;0
32;11/07/2020;A;585231;1;1;group 27;9;3;700;343.6502;1610;1616.800049;1614;1578;1581;0.167;1614;;11/07/2020 18:59;11/07/2020 18:50;11/07/2020 18:53;;11/07/2020 19:16;11/07/2020 19:20;11/07/2020 19:20;11/07/2020 19:36;11/07/2020 19:56;27.6;3861;0;688.58;0;2ª;0
33;11/07/2020;D;585241;1;1;group 27;10;2;810;336.7999;1642;1634.5;1586;1589;1586;0.0181;1586;;11/07/2020 20:00;11/07/2020 20:15;11/07/2020 20:18;;11/07/2020 20:44;11/07/2020 20:41;11/07/2020 20:32;11/07/2020 21:22;11/07/2020 21:30;14.68333333;;0.07843876;265.19;0;2ª;0
34;11/07/2020;D;85391;1;1;group 27;6;3;650;344.2473;1628;1630.599976;1598;1580;1583;0.272;1598;;11/07/2020 21:04;11/07/2020 21:14;11/07/2020 21:16;;11/07/2020 21:41;11/07/2020 21:37;11/07/2020 21:34;11/07/2020 21:44;11/07/2020 22:16;17.6;1026;0;449.24;0;2ª;0
35;11/07/2020;D;85411;1;1;group 27;8;4;800;336.2815;1607;1605.900024;1592;1577;1581;0.248;1592;;11/07/2020 22:39;11/07/2020 22:39;11/07/2020 22:44;;11/07/2020 23:15;11/07/2020 23:04;11/07/2020 23:02;11/07/2020 23:19;11/07/2020 23:48;17.78333333;342;0;490.09;0;2ª;0
36;12/07/2020;D;85451;1;1;group 27;11;3;680;343.402;1623;1643.099976;1610;1579;1587;0.0291;1610;;12/07/2020 03:43;12/07/2020 03:45;12/07/2020 04:14;12/07/2020 03:53;12/07/2020 04:53;12/07/2020 04:25;12/07/2020 04:23;12/07/2020 04:53;12/07/2020 05:24;33.13333333;;0;185.09;0;2ª;0
37;12/07/2020;D;85461;1;1;group 27;10;1;690;341.1961;1641;1644.699951;1625;1586;1596;0.302;1625;;12/07/2020 05:10;12/07/2020 05:05;12/07/2020 05:10;12/07/2020 05:12;12/07/2020 05:36;12/07/2020 05:27;12/07/2020 05:24;12/07/2020 05:40;12/07/2020 06:12;14.65;4368;0;504.58;0;2ª;0
38;12/07/2020;D;85471;1;1;group 27;2;4;700;346.9393;1606;1600.900024;1588;1577;1583;0.254;1588;;12/07/2020 05:57;12/07/2020 05:58;12/07/2020 06:02;12/07/2020 06:05;12/07/2020 06:29;12/07/2020 06:19;12/07/2020 06:18;12/07/2020 06:35;12/07/2020 07:02;15.51666667;318;0;527.29;0;2ª;0
39;12/07/2020;D;85481;1;1;group 27;9;1;670;335.8686;1638;1623.800049;1605;1583;1588;0.342;1605;;12/07/2020 06:53;12/07/2020 06:46;12/07/2020 06:51;12/07/2020 06:59;12/07/2020 07:18;12/07/2020 07:14;12/07/2020 07:11;12/07/2020 07:30;12/07/2020 07:50;20.81666667;747;0;456.52;0;2ª;0
40;12/07/2020;A;85501;1;1;group 27;8;4;690;342.3729;1606;1594;1585;1576;1579;0.333;1585;;12/07/2020 08:52;12/07/2020 08:41;12/07/2020 08:46;;12/07/2020 09:23;12/07/2020 09:07;12/07/2020 09:04;12/07/2020 09:36;12/07/2020 09:51;17.36666667;;0;473.73;0;2ª;0
41;12/07/2020;A;85511;1;1;group 27;7;3;650;348.0487;1614;1628.699951;1611;1579;1583;0.248;1611;;12/07/2020 11:12;12/07/2020 11:10;12/07/2020 11:13;;12/07/2020 11:41;12/07/2020 11:43;12/07/2020 11:40;12/07/2020 11:53;12/07/2020 12:23;26.68333333;2733;0;486.63;0;2ª;0
42;12/07/2020;A;85521;1;1;group 27;8;4;690;342.0687;1605;1620.099976;1603;1576;1583;0.252;1603;;12/07/2020 12:01;12/07/2020 12:00;12/07/2020 12:05;;12/07/2020 12:27;12/07/2020 12:31;12/07/2020 12:30;12/07/2020 12:41;12/07/2020 13:10;24.65;1329;0;468.38;0;2ª;0
43;12/07/2020;A;85531;1;1;group 27;9;2;690;336.0503;1642;1630.5;1589;1583;1594;0.319;1589;;12/07/2020 13:08;12/07/2020 13:12;12/07/2020 13:18;;12/07/2020 14:16;12/07/2020 14:05;12/07/2020 14:04;12/07/2020 14:16;12/07/2020 14:47;46.33333333;315;312.7007434;758.25;0;2ª;0
44;12/07/2020;A;85551;1;1;group 35;8;3;650;348.0679;1651;1656.300049;1634;1584;1590;0.0133;1634;;12/07/2020 15:43;12/07/2020 15:42;12/07/2020 15:53;12/07/2020 15:55;12/07/2020 16:25;12/07/2020 16:24;12/07/2020 16:13;12/07/2020 16:40;12/07/2020 16:56;19.66666667;2847;0;133.66;0;2ª;0
45;12/07/2020;A;85561;1;1;group 35;2;3;650;345.5976;1636;1627.900024;1619;1572;1584;0.019;1619;;12/07/2020 16:35;12/07/2020 16:34;12/07/2020 16:39;12/07/2020 16:41;12/07/2020 17:12;12/07/2020 17:06;12/07/2020 16:58;12/07/2020 17:15;12/07/2020 17:51;19.26666667;3360;0;70.1;0;2ª;0
46;12/07/2020;A;85581;1;1;group 35;7;3;700;328.0874;1639;1649.699951;1631;1571;1586;0.0124;1631;;12/07/2020 18:27;12/07/2020 18:24;12/07/2020 18:29;12/07/2020 18:31;12/07/2020 19:09;12/07/2020 18:55;12/07/2020 18:47;12/07/2020 19:02;12/07/2020 19:35;17.95;5625;0;102.79;0;2ª;0
47;12/07/2020;A;85591;1;1;group 35;8;3;690;342.2094;1636;1639;1625;1571;1585;0.0431;1625;;12/07/2020 19:29;12/07/2020 19:31;12/07/2020 19:35;12/07/2020 19:37;12/07/2020 20:12;12/07/2020 20:01;12/07/2020 19:53;12/07/2020 20:07;12/07/2020 20:35;17.45;4638;0;;0;2ª;0
48;12/07/2020;D;585451;1;1;group 35;6;3;750;323.1076;1637;1633.800049;1607;1572;1586;0.0146;1607;;12/07/2020 21:41;12/07/2020 21:40;12/07/2020 21:45;12/07/2020 21:47;12/07/2020 22:29;12/07/2020 22:05;12/07/2020 21:57;12/07/2020 22:11;12/07/2020 22:47;11.51666667;2121;0;42.97;0;2ª;0
49;13/07/2020;D;85631;1;1;group 35;6;4;700;329.097;1629;1642.400024;1604;1570;1573;0.0337;1604;;13/07/2020 00:56;13/07/2020 00:55;13/07/2020 01:01;13/07/2020 01:03;13/07/2020 01:36;13/07/2020 01:30;13/07/2020 01:22;13/07/2020 01:37;13/07/2020 01:49;21.26666667;5606;0;;0;2ª;0
50;13/07/2020;D;85671;1;1;group 35;10;3;890;318.3069;1649;1646.400024;1618;1584;1586;0.0273;1618;;13/07/2020 05:59;13/07/2020 05:58;13/07/2020 06:04;13/07/2020 06:06;13/07/2020 06:37;13/07/2020 06:28;13/07/2020 06:20;13/07/2020 06:44;13/07/2020 07:06;15.83333333;2553;0;46.5;0;2ª;0
51;13/07/2020;D;85681;1;1;group 35;11;2;800;330.3081;1648;1630.199951;1595;1572;1582;0.0443;1595;;13/07/2020 06:57;13/07/2020 07:03;13/07/2020 07:05;13/07/2020 07:06;13/07/2020 07:41;13/07/2020 07:39;13/07/2020 07:27;13/07/2020 07:45;13/07/2020 08:00;22.65;891;0;;0;2ª;0
52;13/07/2020;C;85701;1;1;group 35;7;3;500;346.6829;1640;1642.800049;1617;1579;1588;0.0097;1617;;13/07/2020 08:57;13/07/2020 08:55;13/07/2020 08:58;13/07/2020 09:00;13/07/2020 09:36;13/07/2020 09:25;13/07/2020 09:18;13/07/2020 09:36;13/07/2020 10:06;19.31666667;3684;0;121.5;0;2ª;0
53;13/07/2020;C;85721;1;1;group 35;2;4;700;348.267;1637;1649.099976;1631;1573;1580;0.0437;1631;21.04000092;13/07/2020 11:15;13/07/2020 11:24;13/07/2020 11:29;13/07/2020 11:50;13/07/2020 12:02;13/07/2020 12:05;13/07/2020 11:58;13/07/2020 12:12;13/07/2020 12:19;29.01666667;7317;281.567126;154.11;0;2ª;0
54;13/07/2020;C;85731;1;1;group 33;10;4;700;347.7656;1622;1665.800049;1643;1588;1595;;1643;;13/07/2020 13:16;13/07/2020 13:11;13/07/2020 13:19;13/07/2020 13:20;13/07/2020 14:10;13/07/2020 13:48;13/07/2020 13:42;13/07/2020 14:25;13/07/2020 14:31;23.35;7089;81.94288146;44.71;0;2ª;0
55;13/07/2020;C;85751;1;1;group 33;2;3;700;357.7943;1618;1637.400024;1620;1573;1577;0.056;1620;;13/07/2020 15:47;13/07/2020 15:49;13/07/2020 15:53;13/07/2020 15:58;13/07/2020 16:21;13/07/2020 16:22;13/07/2020 16:19;13/07/2020 16:29;13/07/2020 16:47;25.61666667;6069;152.5245297;87.52;0;2ª;0
56;13/07/2020;C;585631;1;1;group 33;9;1;400;350.5468;1649;1611.400024;1584;1587;1596;0.06;1584;;13/07/2020 17:51;13/07/2020 17:51;13/07/2020 17:53;13/07/2020 17:55;13/07/2020 18:32;13/07/2020 18:33;13/07/2020 18:31;13/07/2020 18:40;13/07/2020 19:07;38.41666667;489;547.1570703;562.54;0;2ª;0
57;13/07/2020;C;85781;1;1;group 33;16;1;800;341.3279;1645;1658.099976;1628;1583;1586;0.06;1628;;13/07/2020 19:10;13/07/2020 19:07;13/07/2020 19:09;13/07/2020 19:12;13/07/2020 20:04;13/07/2020 20:09;13/07/2020 20:09;13/07/2020 20:21;13/07/2020 20:29;59.31666667;7104;444.3429177;454.19;0;2ª;0
58;13/07/2020;A;85811;1;1;group 34;9;3;650;348.8051;1633;1634.900024;1603;1583;1582;0.058;1603;;13/07/2020 22:54;13/07/2020 22:52;13/07/2020 22:58;13/07/2020 23:00;13/07/2020 23:29;13/07/2020 23:42;13/07/2020 23:41;13/07/2020 23:56;14/07/2020 00:05;43.36666667;1086;182.5175308;180.6;0;2ª;0
59;14/07/2020;A;85831;1;1;group 34;2;3;690;344.3324;1626;1637.400024;1617;1576;1588;0.0488;1617;;14/07/2020 00:47;14/07/2020 00:46;14/07/2020 00:55;14/07/2020 00:57;14/07/2020 01:42;14/07/2020 01:16;14/07/2020 01:14;14/07/2020 01:36;14/07/2020 02:15;19.56666667;1833;0;75.05;0;2ª;0
60;14/07/2020;A;85841;1;1;group 34;8;3;650;338.8242;1623;1649.099976;1632;1576;1585;0.0458;1632;;14/07/2020 02:01;14/07/2020 01:59;14/07/2020 02:04;14/07/2020 02:05;14/07/2020 02:46;14/07/2020 02:30;14/07/2020 02:29;14/07/2020 02:53;14/07/2020 03:30;25.36666667;4560;0;49.65;0;2ª;0
61;14/07/2020;A;85861;1;1;group 34;10;4;650;345.9725;1606;1626.699951;1612;1573;1578;0.046;1612;;14/07/2020 03:30;14/07/2020 03:34;14/07/2020 03:38;14/07/2020 03:40;14/07/2020 04:13;14/07/2020 04:03;14/07/2020 04:02;14/07/2020 04:16;14/07/2020 04:33;23.1;4269;0;48.85;0;2ª;0
62;14/07/2020;A;85881;1;1;group 34;2;3;600;355.0938;1625;1640.099976;1625;1581;1586;0.0381;1625;;14/07/2020 05:38;14/07/2020 05:31;14/07/2020 05:35;14/07/2020 05:37;14/07/2020 06:14;14/07/2020 06:09;14/07/2020 06:08;14/07/2020 06:21;14/07/2020 06:53;32.8;2586;0;111.57;0;2ª;0
63;14/07/2020;C;85891;1;1;group 23;6;3;550;337.7337;1627;1651.699951;1630;1592;1605;0.083;1630;;14/07/2020 08:40;14/07/2020 08:34;14/07/2020 08:40;;14/07/2020 09:40;14/07/2020 09:08;14/07/2020 09:07;14/07/2020 09:55;14/07/2020 10:05;27.08333333;;0;;0;2ª;0
64;14/07/2020;C;85901;1;1;group 23;2;4;700;351.8124;1601;1669.5;1631;1581;1584;0.0169;1631;;14/07/2020 09:57;14/07/2020 10:05;14/07/2020 10:10;14/07/2020 10:12;14/07/2020 10:23;14/07/2020 10:30;14/07/2020 10:29;14/07/2020 11:19;14/07/2020 11:39;18.6;8193;0;176.99;0;2ª;0
65;14/07/2020;C;85921;1;1;group 23;6;4;400;346.5458;1604;1589.800049;1571;1576;1575;0.0273;1571;;14/07/2020 12:05;14/07/2020 12:07;14/07/2020 12:11;;14/07/2020 12:31;14/07/2020 12:30;14/07/2020 12:29;14/07/2020 12:42;14/07/2020 12:58;17.78333333;;162.4371554;243.22;0;2ª;0
66;14/07/2020;C;585771;1;1;group 23;2;4;600;341.9293;1604;1629.199951;1611;1575;1578;0.0169;1611;;14/07/2020 13:33;14/07/2020 13:35;14/07/2020 13:40;14/07/2020 13:42;14/07/2020 14:01;14/07/2020 13:54;14/07/2020 13:53;14/07/2020 14:14;14/07/2020 14:27;12.73333333;4536;0;181.12;0;2ª;0
67;14/07/2020;C;585781;1;1;group 23;16;2;650;334.3036;1631;1606.300049;1574;1584;1584;0.0451;1574;;14/07/2020 14:58;14/07/2020 15:02;14/07/2020 15:03;;14/07/2020 15:30;14/07/2020 15:27;14/07/2020 15:26;14/07/2020 15:39;14/07/2020 16:06;23.45;;301.7143044;356;0;2ª;0
68;14/07/2020;C;85951;1;1;group 23;2;4;700;347.233;1608;1609.900024;1592;1576;1580;0.0421;1592;;14/07/2020 16:35;14/07/2020 16:35;14/07/2020 16:40;;14/07/2020 17:16;14/07/2020 16:57;14/07/2020 16:56;14/07/2020 17:30;14/07/2020 17:52;15.4;597;0;98.13;0;2ª;0
69;14/07/2020;C;85961;1;1;group 23;7;2;700;330.6393;1638;1646.900024;1620;1588;1596;0.0333;1620;;14/07/2020 17:34;14/07/2020 17:33;14/07/2020 17:37;14/07/2020 17:53;14/07/2020 18:09;14/07/2020 17:56;14/07/2020 17:54;14/07/2020 18:32;14/07/2020 18:43;16.5;2532;0;73.04;0;2ª;0
70;14/07/2020;A;85991;1;1;group 41;9;1;650;330.8399;1647;1632.199951;1612;1588;1591;0.0469;1612;;14/07/2020 20:22;14/07/2020 20:31;14/07/2020 20:37;14/07/2020 20:38;14/07/2020 20:59;14/07/2020 20:59;14/07/2020 20:58;14/07/2020 21:08;14/07/2020 21:52;21.73333333;;0;23.35;0;2ª;0
71;14/07/2020;A;86011;1;1;group 41;8;2;690;351.4204;1631;1614.5;1598;1581;1588;0.0408;1598;;14/07/2020 22:24;14/07/2020 22:27;14/07/2020 22:33;14/07/2020 22:34;14/07/2020 23:06;14/07/2020 22:56;14/07/2020 22:56;14/07/2020 23:08;14/07/2020 23:37;23.08333333;;303.0944112;299.93;0;2ª;0
72;15/07/2020;A;86061;1;1;group 41;20;4;650;344.2202;1616;1634.5;1614;1578;1582;0.0395;1614;;15/07/2020 04:36;15/07/2020 04:40;15/07/2020 04:44;;15/07/2020 05:17;15/07/2020 05:07;15/07/2020 05:07;15/07/2020 05:35;15/07/2020 05:52;22.95;3039;0;86.35;0;2ª;0
73;15/07/2020;A;86081;1;1;group 41;16;3;650;340.2371;1624;1623;1606;1580;1584;0.0417;1606;;15/07/2020 06:29;15/07/2020 06:29;15/07/2020 06:32;15/07/2020 06:34;15/07/2020 07:06;15/07/2020 06:54;15/07/2020 06:54;15/07/2020 07:16;15/07/2020 07:50;21.56666667;;0;16.46;0;2ª;0
74;15/07/2020;B;86121;1;1;group 22;7;4;660;;1611;1635;1599;1590;1595;0.061;1599;;15/07/2020 14:23;15/07/2020 14:22;15/07/2020 14:25;;;15/07/2020 14:49;15/07/2020 14:46;15/07/2020 17:29;15/07/2020 17:39;21;;205.7266934;158.89;0;2ª;0
75;15/07/2020;B;86121;1;2;group 22;7;4;570;340.0461;1611;1595;1555;1571;1572;0.061;1555;;15/07/2020 16:26;15/07/2020 16:30;15/07/2020 16:31;15/07/2020 16:45;15/07/2020 17:21;15/07/2020 17:25;15/07/2020 17:19;15/07/2020 17:29;15/07/2020 17:39;47.51666667;;631.7099763;518.01;0;2ª;0
76;15/07/2020;B;586001;1;1;group 22;16;4;630;336.1342;1608;1622.199951;1604;1576;1574;0.053;1604;;15/07/2020 17:55;15/07/2020 18:02;15/07/2020 18:06;15/07/2020 18:10;15/07/2020 18:55;15/07/2020 18:34;15/07/2020 18:33;15/07/2020 18:44;15/07/2020 19:23;26.71666667;1788;0;;0;2ª;0
